ProductID,Date,Zip,Units,Revenue,Country
725,1/15/1999,41540,1,115.45,Germany
787,6/6/2002,41540,1,314.95,Germany
788,6/6/2002,41540,1,314.95,Germany
940,1/15/1999,22587,1,687.70,Germany
396,1/15/1999,22587,1,857.06,Germany
734,4/10/2003,22587,1,330.70,Germany
769,2/15/1999,22587,1,257.20,Germany
499,1/15/1999,12555,1,846.30,Germany
2254,1/15/1999,40217,1,57.70,Germany
31,5/31/2002,40217,1,761.25,Germany
475,2/15/1999,13583,1,970.20,Germany
510,1/15/1999,22337,1,837.11,Germany
499,6/5/2002,22337,1,883.05,Germany
289,2/15/1999,13587,1,865.99,Germany
702,2/15/1999,13587,1,286.07,Germany
910,3/15/1999,13587,1,414.70,Germany
901,2/15/1999,13587,2,818.90,Germany
550,1/15/1999,22177,1,403.99,Germany
559,1/15/1999,22177,1,585.64,Germany
767,6/7/2002,22177,1,104.95,Germany
1000,4/11/2003,13589,1,89.20,Germany
559,1/15/1999,21129,1,585.64,Germany
716,4/10/2003,21129,1,152.20,Germany
966,4/10/2003,21129,1,472.45,Germany
604,1/15/1999,42549,1,461.74,Germany
609,1/15/1999,42549,1,778.84,Germany
2054,6/5/2002,42549,1,545.95,Germany
2205,6/5/2002,42549,1,157.45,Germany
2204,6/5/2002,42549,1,157.45,Germany
2252,6/5/2002,42549,1,136.45,Germany
2253,6/5/2002,42549,1,136.45,Germany
574,6/8/2002,13595,1,869.14,Germany
676,1/15/1999,21107,2,1603.88,Germany
727,1/15/1999,22149,1,62.95,Germany
472,4/10/2003,22149,1,961.28,Germany
921,1/15/1999,27499,1,524.95,Germany
946,5/31/2002,27499,1,692.95,Germany
606,2/15/1999,10119,1,314.74,Germany
1066,1/15/1999,41066,1,296.57,Germany
1065,1/15/1999,41066,1,296.57,Germany
559,6/6/2002,41066,1,624.49,Germany
1188,1/15/1999,22359,1,472.45,Germany
36,2/15/1999,22359,1,414.75,Germany
1014,2/15/1999,22359,1,86.57,Germany
2331,1/15/1999,10243,1,535.45,Germany
532,3/15/1999,10243,1,556.45,Germany
604,4/10/2003,10243,2,989.63,Germany
647,4/10/2003,10243,1,922.16,Germany
1014,5/31/2002,10243,1,86.57,Germany
571,6/11/2003,10243,1,527.10,Germany
1990,1/15/1999,45138,1,257.20,Germany
2396,6/10/2002,10245,1,89.20,Germany
906,4/12/2003,10247,1,419.95,Germany
2240,4/13/2003,10247,1,89.20,Germany
2241,4/13/2003,10247,1,89.20,Germany
2400,4/13/2003,10247,1,89.20,Germany
433,2/15/1999,10247,1,804.30,Germany
475,1/15/1999,45130,1,970.20,Germany
491,1/15/1999,22761,1,815.33,Germany
769,5/31/2002,22761,1,262.45,Germany
573,2/15/1999,22761,1,280.61,Germany
631,2/15/1999,10315,1,346.24,Germany
2254,2/15/1999,10315,1,57.70,Germany
475,2/15/1999,10315,1,970.20,Germany
2255,2/15/1999,10315,1,57.70,Germany
604,1/15/1999,10315,1,461.74,Germany
565,6/3/2002,10315,1,881.74,Germany
573,1/15/1999,22767,1,280.61,Germany
580,2/15/1999,10318,1,734.74,Germany
609,2/15/1999,10318,1,778.84,Germany
396,2/15/1999,10318,1,857.06,Germany
550,6/3/2002,10318,1,429.19,Germany
604,1/15/1999,41469,1,461.74,Germany
491,3/15/1999,10319,2,1630.65,Germany
725,5/31/2002,10319,1,120.70,Germany
1215,2/15/1999,10319,1,362.20,Germany
606,2/15/1999,10319,1,314.74,Germany
609,1/15/1999,22111,1,778.84,Germany
445,6/6/2002,22111,1,860.48,Germany
676,2/15/1999,22111,1,801.94,Germany
1975,2/15/1999,10365,1,52.45,Germany
1081,2/15/1999,10365,1,225.70,Germany
964,3/15/1999,10365,1,346.45,Germany
2056,3/15/1999,10365,1,320.20,Germany
533,6/7/2002,10365,1,524.74,Germany
683,1/15/1999,10365,1,788.03,Germany
396,2/15/1999,10365,1,857.06,Germany
499,2/15/1999,10367,1,851.55,Germany
676,3/15/1999,10367,1,801.94,Germany
1017,6/8/2002,10367,1,262.45,Germany
2407,2/15/1999,10367,1,73.45,Germany
396,2/15/1999,10367,1,857.06,Germany
574,5/31/2002,40591,1,869.14,Germany
725,5/31/2002,40591,1,120.70,Germany
1116,2/15/1999,40591,1,251.95,Germany
396,2/15/1999,40591,1,857.06,Germany
475,4/12/2003,10407,1,1037.40,Germany
2375,4/13/2003,10407,1,698.20,Germany
1911,3/15/1999,10407,1,244.07,Germany
2094,3/15/1999,10407,1,433.07,Germany
906,5/31/2002,10407,1,419.95,Germany
691,6/3/2002,10407,1,351.49,Germany
475,2/15/1999,10407,1,970.20,Germany
2287,2/15/1999,10407,1,839.95,Germany
513,2/15/1999,10407,1,451.45,Germany
580,2/15/1999,10407,1,734.74,Germany
739,5/31/2002,41470,1,173.20,Germany
826,5/31/2002,10409,1,944.95,Germany
609,6/8/2002,10409,1,829.24,Germany
580,2/15/1999,10409,1,734.74,Germany
475,6/3/2002,10409,1,1007.21,Germany
767,5/31/2002,41169,1,104.95,Germany
981,6/6/2002,41169,1,157.45,Germany
475,2/15/1999,10435,1,970.20,Germany
910,3/15/1999,10435,2,829.40,Germany
559,4/11/2003,10435,1,643.39,Germany
491,1/15/1999,10435,1,815.33,Germany
758,5/31/2002,10435,1,83.95,Germany
967,5/31/2002,10435,1,671.95,Germany
1157,3/15/1999,10435,1,377.95,Germany
645,3/15/1999,10435,2,1493.10,Germany
475,6/7/2002,10435,1,1007.21,Germany
475,1/15/1999,10435,1,970.20,Germany
862,4/10/2003,10435,2,608.90,Germany
488,4/11/2003,10435,1,1098.56,Germany
785,5/31/2002,10435,1,68.20,Germany
499,2/15/1999,10435,2,1692.60,Germany
604,2/15/1999,10435,1,461.74,Germany
826,5/31/2002,40233,1,944.95,Germany
396,1/15/1999,10551,1,857.06,Germany
1903,6/5/2002,10551,1,766.45,Germany
1006,5/31/2002,41065,1,89.20,Germany
2400,6/5/2002,41065,1,94.45,Germany
606,6/5/2002,41065,1,323.14,Germany
475,2/15/1999,41065,1,970.20,Germany
606,2/15/1999,10553,1,314.74,Germany
2046,5/31/2002,22041,1,433.07,Germany
2071,5/31/2002,22417,1,346.45,Germany
2074,5/31/2002,22417,1,335.95,Germany
599,2/15/1999,22417,1,753.64,Germany
2331,5/31/2002,10557,1,540.70,Germany
1000,6/8/2002,10557,1,89.20,Germany
426,6/10/2002,10557,1,843.15,Germany
94,6/10/2002,10557,1,891.98,Germany
1204,3/15/1999,10559,1,419.95,Germany
2353,5/31/2002,40597,1,414.70,Germany
604,6/7/2002,40597,1,480.64,Germany
604,2/15/1999,40597,1,461.74,Germany
2074,5/31/2002,40597,1,335.95,Germany
663,2/15/1999,40597,1,765.45,Germany
533,6/1/2002,10585,1,524.74,Germany
596,6/3/2002,10585,1,776.74,Germany
396,3/15/1999,10585,1,857.06,Germany
658,1/15/1999,10585,1,902.74,Germany
1203,3/15/1999,10585,1,314.95,Germany
922,3/15/1999,10585,1,472.45,Germany
433,6/3/2002,10585,1,851.55,Germany
671,6/5/2002,10585,1,892.24,Germany
671,6/11/2003,10585,1,944.74,Germany
2373,5/31/2002,41464,1,587.95,Germany
491,3/15/1999,10587,1,815.33,Germany
596,1/15/1999,10587,1,746.55,Germany
396,2/15/1999,10587,1,857.06,Germany
599,2/15/1999,10587,1,753.64,Germany
488,6/4/2002,10587,1,1007.21,Germany
133,6/5/2002,10587,1,639.98,Germany
604,2/15/1999,10587,1,461.74,Germany
499,2/15/1999,10587,1,846.30,Germany
573,5/31/2002,40212,1,298.99,Germany
530,2/15/1999,40212,1,619.45,Germany
725,5/31/2002,22305,1,120.70,Germany
1383,6/5/2002,22305,1,341.15,Germany
1384,6/5/2002,22305,1,341.15,Germany
638,4/9/2003,41063,1,1008.79,Germany
786,4/9/2003,40764,1,57.70,Germany
1191,4/11/2003,10627,1,267.70,Germany
1063,3/15/1999,10627,1,233.57,Germany
2373,2/15/1999,10627,1,551.20,Germany
609,2/15/1999,10627,1,778.84,Germany
2388,3/15/1999,10629,1,309.70,Germany
2234,3/15/1999,10629,1,65.57,Germany
910,4/10/2003,42369,1,430.45,Germany
606,6/5/2002,42369,1,323.14,Germany
604,2/15/1999,42369,1,461.74,Germany
2199,4/10/2003,22297,1,188.95,Germany
443,4/10/2003,22297,1,851.29,Germany
400,6/5/2002,22297,1,734.74,Germany
475,3/15/1999,10711,1,970.20,Germany
760,4/11/2003,10713,1,146.95,Germany
759,4/11/2003,10713,1,146.95,Germany
502,4/10/2003,22115,1,1105.91,Germany
599,2/15/1999,10715,1,753.64,Germany
669,4/10/2003,22087,1,1364.74,Germany
103,6/5/2002,22087,1,855.23,Germany
573,2/15/1999,22087,1,280.61,Germany
838,3/15/1999,10717,1,934.45,Germany
1227,3/15/1999,10717,1,314.95,Germany
551,4/12/2003,10717,1,922.16,Germany
396,1/15/1999,10717,1,857.06,Germany
604,6/7/2002,10717,1,480.64,Germany
2045,2/15/1999,10719,1,409.45,Germany
464,6/7/2002,10719,1,866.25,Germany
433,2/15/1999,10777,1,804.30,Germany
990,3/15/1999,10777,1,472.45,Germany
606,6/4/2002,10777,1,323.14,Germany
797,4/10/2003,22609,1,309.70,Germany
1066,2/15/1999,22609,1,296.57,Germany
727,1/15/1999,45143,1,62.95,Germany
2407,2/15/1999,45143,1,73.45,Germany
491,2/15/1999,45143,1,815.33,Germany
740,1/15/1999,41517,1,170.57,Germany
726,6/6/2002,41517,1,120.70,Germany
725,6/6/2002,41517,1,120.70,Germany
609,2/15/1999,10785,1,778.84,Germany
1066,1/15/1999,41749,1,296.57,Germany
2235,6/6/2002,41749,1,70.82,Germany
2234,6/6/2002,41749,1,70.82,Germany
396,4/12/2003,10787,1,913.76,Germany
683,2/15/1999,42389,1,788.03,Germany
530,3/15/1999,10789,1,619.45,Germany
1157,3/15/1999,10789,1,377.95,Germany
797,2/15/1999,21149,1,301.82,Germany
758,3/15/1999,10823,1,83.95,Germany
1948,3/15/1999,10823,1,293.95,Germany
1836,4/10/2003,10823,1,146.95,Germany
1014,5/31/2002,10823,1,86.57,Germany
663,2/15/1999,10823,1,765.45,Germany
330,2/15/1999,10823,1,577.24,Germany
467,6/5/2002,21073,1,900.64,Germany
396,2/15/1999,10827,1,857.06,Germany
513,3/15/1999,10829,1,451.45,Germany
2331,2/15/1999,10829,1,535.45,Germany
1191,3/15/1999,10967,1,257.20,Germany
2387,4/13/2003,10967,1,493.45,Germany
2253,5/31/2002,10967,1,136.45,Germany
2252,5/31/2002,10967,1,136.45,Germany
2145,6/5/2002,22559,1,383.20,Germany
687,6/7/2002,22559,1,456.49,Germany
2388,6/10/2002,12043,1,309.70,Germany
687,2/15/1999,12043,1,445.99,Germany
989,2/15/1999,12043,1,467.20,Germany
532,6/5/2002,45145,1,577.24,Germany
683,6/5/2002,45145,1,839.74,Germany
981,6/6/2002,45145,1,157.45,Germany
574,6/5/2002,22395,1,869.14,Germany
622,6/6/2002,22395,1,816.38,Germany
1478,2/15/1999,22395,1,317.52,Germany
609,6/5/2002,22045,1,829.24,Germany
647,6/5/2002,45147,1,900.64,Germany
676,6/5/2002,45147,1,837.38,Germany
2112,6/5/2002,22547,1,572.20,Germany
2053,5/31/2002,22547,1,325.45,Germany
396,2/15/1999,12101,1,857.06,Germany
797,2/15/1999,12101,1,301.82,Germany
642,4/11/2003,12101,1,903.79,Germany
2112,6/5/2002,41179,1,572.20,Germany
559,2/15/1999,12103,1,585.64,Germany
2270,5/31/2002,12103,1,314.95,Germany
687,3/15/1999,12103,1,445.99,Germany
2359,6/5/2002,42657,1,430.45,Germany
609,2/15/1999,12107,1,778.84,Germany
2400,6/5/2002,42651,1,94.45,Germany
573,2/15/1999,12109,1,280.61,Germany
992,5/31/2002,12157,1,278.20,Germany
785,6/6/2002,22527,1,68.20,Germany
786,6/6/2002,22527,1,68.20,Germany
786,6/7/2002,22527,1,68.20,Germany
475,2/15/1999,12159,1,970.20,Germany
500,4/12/2003,12159,1,892.24,Germany
2083,3/15/1999,12159,1,309.70,Germany
559,3/15/1999,12159,1,585.64,Germany
2074,2/15/1999,12159,1,328.07,Germany
1836,6/6/2002,22089,1,146.95,Germany
1182,1/15/1999,12163,1,157.45,Germany
727,1/15/1999,12165,1,62.95,Germany
726,4/10/2003,12165,1,110.20,Germany
761,4/10/2003,12165,1,173.20,Germany
512,6/6/2002,42107,1,230.74,Germany
396,2/15/1999,42107,1,857.06,Germany
2359,4/13/2003,12169,1,430.45,Germany
2396,6/6/2002,42115,1,89.20,Germany
467,6/6/2002,41516,1,900.64,Germany
580,2/15/1999,41516,1,734.74,Germany
573,2/15/1999,41516,1,280.61,Germany
967,4/11/2003,12207,1,698.20,Germany
726,5/31/2002,12207,1,115.45,Germany
989,3/15/1999,12207,1,451.45,Germany
2252,6/10/2002,12207,1,136.45,Germany
2253,6/10/2002,12207,1,136.45,Germany
910,3/15/1999,12207,1,414.70,Germany
2045,4/10/2003,12207,1,419.95,Germany
550,6/6/2002,22393,1,429.19,Germany
676,2/15/1999,22393,1,801.94,Germany
433,4/14/2003,12209,1,880.16,Germany
966,6/6/2002,40468,1,488.20,Germany
1948,3/15/1999,12247,1,296.57,Germany
1948,2/15/1999,12249,1,296.57,Germany
606,3/15/1999,12249,1,314.74,Germany
2016,5/31/2002,12249,1,304.45,Germany
671,6/7/2002,12249,1,892.24,Germany
550,4/11/2003,12249,1,433.39,Germany
631,2/15/1999,12277,1,346.24,Germany
2050,5/31/2002,12277,1,503.95,Germany
597,2/15/1999,12277,1,892.24,Germany
609,2/15/1999,12279,1,778.84,Germany
1948,3/15/1999,12279,1,296.57,Germany
1974,3/15/1999,12279,1,52.45,Germany
964,6/7/2002,12305,1,330.70,Germany
1131,3/15/1999,12305,1,419.95,Germany
681,6/6/2002,41366,1,682.24,Germany
475,6/8/2002,12307,1,1007.21,Germany
838,3/15/1999,12309,1,934.45,Germany
2016,3/15/1999,12351,1,299.20,Germany
2332,5/31/2002,12351,1,367.45,Germany
2094,3/15/1999,12351,1,433.07,Germany
475,3/15/1999,12351,1,970.20,Germany
606,6/3/2002,12351,1,317.89,Germany
1000,6/7/2002,22085,1,89.20,Germany
2056,2/15/1999,12353,1,325.45,Germany
2400,6/7/2002,42279,1,94.45,Germany
94,6/7/2002,40229,1,891.98,Germany
2284,3/15/1999,12357,1,293.95,Germany
725,3/15/1999,12357,1,115.45,Germany
472,4/14/2003,12357,1,961.28,Germany
1894,1/15/1999,12359,1,682.24,Germany
2371,3/15/1999,12359,1,551.20,Germany
976,6/7/2002,12359,1,314.95,Germany
1061,6/3/2002,12359,1,149.57,Germany
1062,6/3/2002,12359,1,149.57,Germany
195,2/15/1999,12359,1,750.23,Germany
491,2/15/1999,12359,1,815.33,Germany
609,2/15/1999,12435,1,778.84,Germany
1926,5/31/2002,12439,1,99.70,Germany
1960,1/15/1999,12439,1,97.07,Germany
1927,5/31/2002,12439,1,99.70,Germany
1053,1/15/1999,12439,1,251.95,Germany
1185,2/15/1999,22143,1,419.95,Germany
2275,6/11/2003,12489,1,330.70,Germany
550,6/10/2002,12526,1,429.19,Germany
2407,4/10/2003,12526,1,81.32,Germany
2287,2/15/1999,12527,1,839.95,Germany
609,3/15/1999,12589,1,778.84,Germany
687,2/15/1999,12619,1,445.99,Germany
609,2/15/1999,42283,1,778.84,Germany
631,2/15/1999,40880,2,692.48,Germany
768,2/15/1999,12627,1,104.95,Germany
1116,3/15/1999,12627,1,251.95,Germany
2045,3/15/1999,12627,1,409.45,Germany
2074,3/15/1999,12627,1,328.07,Germany
491,1/15/1999,12627,1,815.33,Germany
2277,5/31/2002,12627,1,262.45,Germany
816,6/7/2002,12627,1,330.70,Germany
1201,6/7/2002,12627,1,577.45,Germany
757,2/15/1999,12627,1,83.95,Germany
